lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
0.004229375747361028,49,,,,,,
,49,2.304379940032959,0,,,,
0.004934024761946765,99,,,,,,
,99,2.302927255630493,0,,,,
0.006107030640911407,149,,,,,,
,149,2.301208734512329,0,,,,
,156,,0,2.3010153770446777,0.10400000214576721,,
0.007736720719392659,199,,,,,,
,199,2.2999677658081055,1,,,,
0.00980687783560423,249,,,,,,
,249,2.273568630218506,1,,,,
0.012296901708965108,299,,,,,,
,299,2.124945640563965,1,,,,
,313,,1,2.091642141342163,0.1850000023841858,,
0.015182013934955788,349,,,,,,
,349,2.0175187587738037,2,,,,
0.018433504556782346,399,,,,,,
,399,1.9746700525283813,2,,,,
0.022019017760196963,449,,,,,,
,449,1.8904999494552612,2,,,,
,470,,2,1.7875374555587769,0.3285999894142151,,
0.0259028738485048,499,,,,,,
,499,1.8024449348449707,3,,,,
0.03004642429376146,549,,,,,,
,549,1.7715703248977661,3,,,,
0.0344084363310211,599,,,,,,
,599,1.6810773611068726,3,,,,
,627,,3,1.6530603170394897,0.3840999901294708,,
0.038945503268510734,649,,,,,,
,649,1.618704080581665,4,,,,
0.04361247643070475,699,,,,,,
,699,1.6079788208007812,4,,,,
0.04836291443600355,749,,,,,,
,749,1.550469160079956,4,,,,
,784,,4,1.5024319887161255,0.44850000739097595,,
0.05314954533822241,799,,,,,,
,799,1.7085837125778198,5,,,,
0.05792473703308715,849,,,,,,
,849,1.6345692873001099,5,,,,
0.06264097124868898,899,,,,,,
,899,1.6443203687667847,5,,,,
,941,,5,1.4576115608215332,0.45899999141693115,,
0.0672513164031851,949,,,,,,
,949,1.5108295679092407,6,,,,
0.07170989462430485,999,,,,,,
,999,1.5229952335357666,6,,,,
0.07597233828331713,1049,,,,,,
,1049,1.4782562255859375,6,,,,
,1098,,6,1.4291538000106812,0.4837000072002411,,
0.07999623150045677,1099,,,,,,
,1099,1.437125325202942,7,,,,
0.08374153222835848,1149,,,,,,
,1149,1.6241908073425293,7,,,,
0.08717097071331582,1199,,,,,,
,1199,1.4352123737335205,7,,,,
0.09025042036924891,1249,,,,,,
,1249,1.4306466579437256,7,,,,
,1255,,7,1.4122591018676758,0.489300012588501,,
0.09294923737378774,1299,,,,,,
,1299,1.5195727348327637,8,,,,
0.09524056560712638,1349,,,,,,
,1349,1.5676453113555908,8,,,,
0.09710160389917954,1399,,,,,,
,1399,1.442579746246338,8,,,,
,1412,,8,1.3815094232559204,0.49380001425743103,,
0.09851383292564675,1449,,,,,,
,1449,1.5806246995925903,9,,,,
0.09946319949512428,1499,,,,,,
,1499,1.2348672151565552,9,,,,
0.09994025639341171,1549,,,,,,
,1549,1.179448127746582,9,,,,
,1569,,9,1.3521801233291626,0.5055999755859375,,
0.09998858208468725,1599,,,,,,
,1599,1.1890504360198975,10,,,,
0.09989727004843828,1649,,,,,,
,1649,1.311364769935608,10,,,,
0.09971481277245615,1699,,,,,,
,1699,1.3709880113601685,10,,,,
,1726,,10,1.260493278503418,0.5422000288963318,,
0.09944154354509119,1749,,,,,,
,1749,1.2454739809036255,11,,,,
0.09907796153772187,1799,,,,,,
,1799,1.4372599124908447,11,,,,
0.098624730892936,1849,,,,,,
,1849,1.3116251230239868,11,,,,
,1883,,11,1.2622286081314087,0.546999990940094,,
0.09808267951136446,1899,,,,,,
,1899,1.3302850723266602,12,,,,
0.09745279753938403,1949,,,,,,
,1949,1.2683601379394531,12,,,,
0.09673623556045154,1999,,,,,,
,1999,1.3671075105667114,12,,,,
,2040,,12,1.316909909248352,0.5394999980926514,,
0.095934302493373,2049,,,,,,
,2049,1.307897686958313,13,,,,
0.09504846320134738,2099,,,,,,
,2099,1.2933005094528198,13,,,,
0.0940803358161519,2149,,,,,,
,2149,1.2989002466201782,13,,,,
,2197,,13,1.2292721271514893,0.5741000175476074,,
0.09303168878235718,2199,,,,,,
,2199,1.3380287885665894,14,,,,
0.09190443762697105,2249,,,,,,
,2249,1.2991148233413696,14,,,,
0.09070064146041219,2299,,,,,,
,2299,1.218876600265503,14,,,,
0.08942249921520477,2349,,,,,,
,2349,1.275587558746338,14,,,,
,2354,,14,1.1944360733032227,0.5702000260353088,,
0.08807234562926505,2399,,,,,,
,2399,1.3236323595046997,15,,,,
0.08665264698111695,2449,,,,,,
,2449,1.161333680152893,15,,,,
0.08516599658482699,2499,,,,,,
,2499,1.1933788061141968,15,,,,
,2511,,15,1.2321381568908691,0.5719000101089478,,
0.0836151100528878,2549,,,,,,
,2549,1.2374153137207031,16,,,,
0.08200282033570337,2599,,,,,,
,2599,1.257526159286499,16,,,,
0.08033207254673727,2649,,,,,,
,2649,1.216172695159912,16,,,,
,2668,,16,1.1378964185714722,0.5963000059127808,,
0.07860591858277646,2699,,,,,,
,2699,1.0550562143325806,17,,,,
0.07682751154913771,2749,,,,,,
,2749,1.1400130987167358,17,,,,
0.0750001,2799,,,,,,
,2799,1.1684054136276245,17,,,,
,2825,,17,1.1358423233032227,0.5895000100135803,,
0.07312702200438373,2849,,,,,,
,2849,1.1125205755233765,18,,,,
0.07121169904861628,2899,,,,,,
,2899,1.2387322187423706,18,,,,
0.06925762978642228,2949,,,,,,
,2949,1.113751769065857,18,,,,
,2982,,18,1.1761822700500488,0.5713000297546387,,
0.0672683836480545,2999,,,,,,
,2999,1.1857633590698242,19,,,,
0.06524759432014013,3049,,,,,,
,3049,1.168299674987793,19,,,,
0.06319895310815188,3099,,,,,,
,3099,1.0015318393707275,19,,,,
,3139,,19,1.0972216129302979,0.6093999743461609,,
0.06112620219362893,3149,,,,,,
,3149,1.1244746446609497,20,,,,
0.05903312779846423,3199,,,,,,
,3199,1.288835048675537,20,,,,
0.056923553268744854,3249,,,,,,
,3249,1.138055443763733,20,,,,
,3296,,20,1.1295673847198486,0.5938000082969666,,
0.054801332090778906,3299,,,,,,
,3299,1.1292548179626465,21,,,,
0.05267034085206632,3349,,,,,,
,3349,1.2119874954223633,21,,,,
0.05053447216007148,3399,,,,,,
,3399,1.0557239055633545,21,,,,
0.048397627531732754,3449,,,,,,
,3449,1.0619946718215942,21,,,,
,3453,,21,1.062098503112793,0.6194999814033508,,
0.046263710266697504,3499,,,,,,
,3499,1.0568057298660278,22,,,,
0.04413661831730046,3549,,,,,,
,3549,1.2539846897125244,22,,,,
0.042020237168310055,3599,,,,,,
,3599,1.119902491569519,22,,,,
,3610,,22,1.1219671964645386,0.5996999740600586,,
0.0399184327394487,3649,,,,,,
,3649,1.0402227640151978,23,,,,
0.037835044323651916,3699,,,,,,
,3699,1.1606227159500122,23,,,,
0.035773877573965704,3749,,,,,,
,3749,1.2730427980422974,23,,,,
,3767,,23,1.0632516145706177,0.6204000115394592,,
0.03373869755189263,3799,,,,,,
,3799,1.0502783060073853,24,,,,
0.03173322184988512,3849,,,,,,
